tweet_id,arg_id,message
1,1-0,0
1,1-1,0
1,1-2,0
1,1-3,0
2,2-0,0
2,2-1,0
2,2-2,0
2,2-3,0
3,3-0,0
3,3-1,1
4,4-0,0
4,4-1,1
5,5-0,0
6,6-0,0
6,6-1,1
6,6-2,0
7,7-0,0
7,7-1,0
7,7-2,0
8,8-0,0
8,8-1,0
8,8-2,0
8,8-3,1
8,8-4,0
9,9-0,0
10,10-0,0
10,10-1,0
10,10-2,0
10,10-3,0
10,10-4,0
10,10-5,0
10,10-6,0
11,11-0,0
11,11-1,0
11,11-2,0
12,12-0,0
12,12-1,0
12,12-2,0
12,12-3,0
12,12-4,0
13,13-0,0
13,13-1,0
13,13-2,0
13,13-3,0
14,14-0,0
14,14-1,0
14,14-2,0
14,14-3,0
15,15-0,0
15,15-1,0
16,16-0,0
17,17-0,0
17,17-1,0
17,17-2,0
17,17-3,0
17,17-4,0
17,17-5,0
17,17-6,0
17,17-7,0
17,17-8,0
17,17-9,0
17,17-10,0
17,17-11,0
17,17-12,1
17,17-13,0
18,18-0,0
18,18-1,1
18,18-2,0
18,18-3,0
18,18-4,0
18,18-5,0
18,18-6,0
18,18-7,0
18,18-8,0
18,18-9,0
18,18-10,0
18,18-11,0
18,18-12,0
18,18-13,0
18,18-14,0
19,19-0,0
19,19-1,0
19,19-2,0
20,20-0,0
21,21-0,0
21,21-1,0
22,22-0,1
22,22-1,0
23,23-0,1
24,24-0,0
24,24-1,1
25,25-0,0
26,26-0,0
27,27-0,0
27,27-1,0
27,27-2,0
27,27-3,0
27,27-4,0
27,27-5,0
28,28-0,0
28,28-1,0
28,28-2,0
28,28-3,0
28,28-4,0
29,29-0,0
29,29-1,0
29,29-2,0
29,29-3,0
29,29-4,0
30,30-0,0
30,30-1,0
30,30-2,0
31,31-0,0
31,31-1,1
31,31-2,0
31,31-3,0
31,31-4,0
31,31-5,0
31,31-6,0
32,32-0,1
32,32-1,0
33,33-0,0
33,33-1,0
34,34-0,0
34,34-1,0
35,35-0,0
36,36-0,0
36,36-1,0
36,36-2,0
37,37-0,0
37,37-1,0
37,37-2,0
37,37-3,0
38,38-0,0
38,38-1,0
38,38-2,0
38,38-3,0
38,38-4,0
38,38-5,1
38,38-6,0
38,38-7,0
38,38-8,0
38,38-9,0
39,39-0,0
40,40-0,0
40,40-1,1
40,40-2,0
41,41-0,0
41,41-1,0
41,41-2,1
41,41-3,0
42,42-0,0
42,42-1,0
43,43-0,0
44,44-0,0
45,45-0,1
45,45-1,0
45,45-2,0
46,46-0,0
46,46-1,1
47,47-0,0
47,47-1,1
47,47-2,0
47,47-3,0
48,48-0,1
48,48-1,0
48,48-2,0
48,48-3,0
48,48-4,0
48,48-5,0
49,49-0,0
50,50-0,0
51,51-0,0
51,51-1,1
51,51-2,0
52,52-0,0
52,52-1,0
53,53-0,0
54,54-0,0
54,54-1,1
54,54-2,0
54,54-3,0
55,55-0,1
55,55-1,0
56,56-0,0
56,56-1,1
56,56-2,0
56,56-3,0
57,57-0,0
57,57-1,1
57,57-2,0
58,58-0,0
58,58-1,1
58,58-2,0
59,59-0,0
